,Name,Price,Image,Link
995,Butterfly Studs,Rs.890,//attirstore.com/cdn/shop/files/E83190ED-6E69-4F02-8ED3-8B8D20530AC0.jpg?v=1717053757&width=533,/products/butterfly-studs-may-24
996,Rectangle Studs,Rs.790,//attirstore.com/cdn/shop/files/19A16E25-3657-4D98-9AFD-986BD99D9B70.jpg?v=1717054159&width=533,/products/rectangle-studs-may-24
997,Hanging Flower Earrings,Rs.990,//attirstore.com/cdn/shop/files/7317B4ED-21B1-41B4-A77D-BA119F9639EF.jpg?v=1717018606&width=533,/products/hanging-flower-earrings-may-24
998,Flower Studs,"Rs.1,290",//attirstore.com/cdn/shop/files/BB1D6C4B-8A30-4287-A5AD-43DB5D28E675.jpg?v=1717018274&width=533,/products/flower-studs-may-24
999,4-Pack Studs Set,"Rs.1,190",//attirstore.com/cdn/shop/files/512F365F-20F2-46D1-9F74-A889627D9A40.jpg?v=1717017953&width=533,/products/4-pack-studs-set-may-24
1000,Hoop Earrings,Rs.990,//attirstore.com/cdn/shop/files/21E06154-D611-416B-AFA3-CC53BC3EBFA3.jpg?v=1717018670&width=533,/products/hoop-earrings-may-24
1001,Gold Ball Hoop Earrings,"Rs.1,290",//attirstore.com/cdn/shop/files/1D60D06C-1BC5-40FF-917C-73F9BBA1F041.jpg?v=1717018291&width=533,/products/gold-ball-hoop-earrings-may-24
1002,Rectangle Stone Bracelet,"Rs.1,990",//attirstore.com/cdn/shop/files/56FB1790-34C3-4648-A517-14A9D943C639.jpg?v=1717018837&width=533,/products/rectangle-stone-bracelet-may-24
1003,Cross Bracelet,"Rs.1,490",//attirstore.com/cdn/shop/files/BBC95D5D-E9E2-4896-923D-B0F9AA2458F8.jpg?v=1717018232&width=533,/products/cross-bracelet-may-24
1004,4-Pack Bracelet Set,"Rs.1,790",//attirstore.com/cdn/shop/files/51506312-7166-403B-A974-C089A3EE0E06.png?v=1717017889&width=533,/products/4-pack-bracelet-set-may-24
1005,Link Chain Bracelet,"Rs.1,490",//attirstore.com/cdn/shop/files/039A9B6B-DBD3-4D82-8D69-09E56D35458C.jpg?v=1717018732&width=533,/products/link-chain-bracelet-may-24
1006,Triple Layered Bracelet,"Rs.1,290",//attirstore.com/cdn/shop/files/110F08AB-C285-44D4-9F9A-C7E901C7D92C.jpg?v=1717054051&width=533,/products/tripple-layered-bracelet-may-24
1007,Gold Open Cuff Cube Bracelet,"Rs.1,290",//attirstore.com/cdn/shop/files/2158F0B3-8C0E-4A1A-B285-D8F0616BF254.jpg?v=1717053421&width=533,/products/gold-open-cuff-cube-bracelet-may-24
1008,3-Pack Multi-layer Necklaces with stone,"Rs.1,490",//attirstore.com/cdn/shop/files/1048CD57-4B87-448E-8BAA-5C9BE63411F4_38130bb2-9552-4c74-8da9-e4737b7d7e0b.jpg?v=1711530903&width=533,/products/3-pack-multi-layer-necklaces-1-s24
1009,3-Pack Multi-layer Necklaces,"Rs.1,490",//attirstore.com/cdn/shop/files/68931F1C-CAAD-4331-971B-48C3ACF67D30.jpg?v=1711531913&width=533,/products/3-pack-multi-layer-necklaces-s24
1010,3-Pack Multi-layer Necklaces,"Rs.1,490",//attirstore.com/cdn/shop/files/0C4FC549-70B4-4BC4-993D-E8B5B02E3159.jpg?v=1717051070&width=533,/products/3-pack-multi-layer-necklaces-may-24
1011,Green Stone Jewelry Set,"Rs.2,990",//attirstore.com/cdn/shop/files/4C963541-A0D0-41E7-A1B5-43BC954FC073.png?v=1717018565&width=533,/products/green-stone-jewelry-set-may-24
1012,2-Pack Multi-layer Necklaces,"Rs.1,290",//attirstore.com/cdn/shop/files/71CDF7E5-FEBC-4B58-90D0-3390F9A162A8.jpg?v=1711531463&width=533,/products/2-pack-multi-layer-necklaces-s24
1013,Chain Necklace,Rs.990,//attirstore.com/cdn/shop/files/7C1B4AA2-30D2-4530-9796-3AA8BB9D39F2.jpg?v=1711536530&width=533,/products/chain-necklace-s24
1014,Classic Statement Necklace,"Rs.1,490",//attirstore.com/cdn/shop/files/BAC70B85-858C-450C-8D6D-096C48839A42.jpg?v=1717018189&width=533,/products/classic-statement-necklace-may-24
1015,Link Chain Necklace,Rs.990,//attirstore.com/cdn/shop/files/95AECC0C-330D-466C-9657-CD091BC67330.jpg?v=1717018748&width=533,/products/link-chain-necklace-may-24
1016,Green Stone Jewelry Set,"Rs.2,990",//attirstore.com/cdn/shop/files/4C963541-A0D0-41E7-A1B5-43BC954FC073.png?v=1717018565&width=533,/products/green-stone-jewelry-set-may-24
1017,Rectangle Earrings,"Rs.1,190",//attirstore.com/cdn/shop/files/465E8085-9D56-4015-B548-41D0B3B40FB3.jpg?v=1711534911&width=533,/products/rectangle-earrings-s24
1018,Leaf Earrings,"Rs.1,390",//attirstore.com/cdn/shop/files/6-1.jpg?v=1692246912&width=533,/products/leaf-earrings
1019,Magnolia Drop Earrings,"Rs.1,290",//attirstore.com/cdn/shop/files/13-1_5a33ec5b-dcba-4533-a337-af3f320ddd24.jpg?v=1692596470&width=533,/products/magnolia-drop-earrings
1020,Swan Earrings in Silver,"Rs.1,290",//attirstore.com/cdn/shop/files/65AFC3AA-B512-4496-9039-DBA9FA30D65F.jpg?v=1717018987&width=533,/products/swan-earrings-in-silver-may-24
