,Name,Price,Image,Link
600,CURVE ASYMMETRIC SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP042-WHITE-ABSTRACT-STRIPED-SHIRT_10_fb8186f5-0ab9-4d0b-a162-fab3de51dc6e.jpg?v=1714391631&width=1080,https://lamaretail.com/collections/tops-blouses/products/curve-asymmetric-shirt-was24tp042-white
601,JACKIE OVERSIZED SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP075-PINK-JACKIE-OVERSIZED-SHIRT_2_3f158d97-be98-4696-b8b8-d193fb63be1f.jpg?v=1708426510&width=1080,https://lamaretail.com/collections/tops-blouses/products/jackie-oversized-shirt-was24tp075-pink
602,CURVE FRAYED SHIRT,"Rs.6,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP089-WHITE-FRAYED-SHIRT_4_a6801bff-16d4-428b-b6e9-e8b263d4fb7c.jpg?v=1714390963&width=1080,https://lamaretail.com/collections/tops-blouses/products/curve-frayed-shirt-was24tp089-white
603,FRAYED SHIRT,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP002-BLUE-FRAYED-SHIRT_1_ec5084e6-87fc-4c72-a5e0-c0c554ab4ec0.jpg?v=1708423496&width=1080,https://lamaretail.com/collections/tops-blouses/products/frayed-shirt-was24tp002-blue
604,SHORT SHIRT WITH STRETCHY BACK,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP027-BLACK-SHORT-SHIRT-WITH-STRETCHY-BACK_11.jpg?v=1708422461&width=1080,https://lamaretail.com/collections/tops-blouses/products/short-shirt-with-stretchy-back-was24tp027-black
605,CONTRAST COLLAR BUTTON DOWN,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP023-WHITE-CONTRAST-COLLAR-BUTTON-DOWN_6.jpg?v=1708421877&width=1080,https://lamaretail.com/collections/tops-blouses/products/contrast-collar-button-down-was24tp023-white
606,JACKIE OVERSIZED SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP075-CREAM-JACKIE-OVERSIZED-SHIRT_6_d45f815c-320a-4b06-8905-cbe5008acf3f.jpg?v=1708426980&width=1080,https://lamaretail.com/collections/tops-blouses/products/jackie-oversized-shirt-was24tp075-cream
607,POPLIN SHACKET,"Rs.4,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/CRFWST0052-DARK-GREY-POPLIN-SHACKET_2_90e16846-1b96-4c8d-a560-686a4759cc2f.jpg?v=1709806093&width=1080,https://lamaretail.com/collections/tops-blouses/products/poplin-shacket-crfwst0052-dark-grey
608,CURVE JACKIE SHIRT,"Rs.7,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP190-GREEN-JACKIE-OVERSIZED-SHIRT_9_e208126c-1d68-417e-9f5d-28dd93fe42da.jpg?v=1714391155&width=1080,https://lamaretail.com/collections/tops-blouses/products/curve-jackie-shirt-was24tp190-green
609,SHORT SHIRT WITH STRETCHY BACK,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP027-WHITE-SHORT-SHIRT-WITH-STRETCHY-BACK_7.jpg?v=1708422471&width=1080,https://lamaretail.com/collections/tops-blouses/products/short-shirt-with-stretchy-back-was24tp027-white
610,PATCH STRIPED SHIRT,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP025-BLUE-PATCH-STRIPED-SHIRT-PATCH-STRIPED-SHIRT_3.jpg?v=1708422249&width=1080,https://lamaretail.com/collections/tops-blouses/products/patch-striped-shirt-was24tp025-blue
611,RETRO SILK BUTTON DOWN,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP007-BLACK-RETRO-SILK-BUTTON-DOWN_6.jpg?v=1708415654&width=1080,https://lamaretail.com/collections/tops-blouses/products/retro-silk-button-down-was24tp007-black
612,CROPPED PARTY TOP,"Rs.4,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP031-GREEN-CROPPED-PARTY-TOP_28.jpg?v=1710915243&width=1080,https://lamaretail.com/collections/tops-blouses/products/cropped-party-top-was24tp031-green
613,PATCH POCKET DENIM SHIRT,"Rs.4,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP073-LIGHT-GREY-PATCH-POCKET-DENIM-SHIRT_4.jpg?v=1711617759&width=1080,https://lamaretail.com/collections/tops-blouses/products/patch-pocket-denim-shirt-was24tp073-grey
614,EVERYDAY PLEATED BLOUSE,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP041-GREEN-EVERYDAY-PLEATED-BLOUSE_15.jpg?v=1715778507&width=1080,https://lamaretail.com/collections/tops-blouses/products/everyday-pleated-blouse-was24tp041-green
615,TWO WAY STRIPED SHIRT,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP004-BEIGE-TWO-WAY-STRIPED-SHIRT_1.jpg?v=1715757855&width=1080,https://lamaretail.com/collections/tops-blouses/products/two-way-striped-shirt-was24tp004-beige
616,CROPPED BAND TOP,"Rs.4,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP038-OFF-WHITE-CROPPED-BAND-TOP_1_bf60bcfa-53b6-4769-b9fb-aae1015a2013.jpg?v=1715854955&width=1080,https://lamaretail.com/collections/tops-blouses/products/cropped-band-top-was24tp038-off-white
617,BLOOM PRINTED SHIRT,"Rs.3,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP091-MULTI-BLOOM-PRINTED-SHIRT_7.jpg?v=1715765304&width=1080,https://lamaretail.com/collections/tops-blouses/products/bloom-printed-shirt-was24tp091-multi
618,SAFARI SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP077-BLACK-MUSLIN-SAFARI-SHIRT_11.jpg?v=1715766849&width=1080,https://lamaretail.com/collections/tops-blouses/products/safari-shirt-was24tp077-black
619,TWO WAY STRIPED SHIRT,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP004-BLUE-TWO-WAY-STRIPED-SHIRT_3.jpg?v=1715340128&width=1080,https://lamaretail.com/collections/tops-blouses/products/two-way-striped-shirt-was24tp004-blue
