,Name,Price,Image,Link
26,Waffle-Knit Revere Polo Shirt in Crimson,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/28-1_9c61524a-13c3-4877-ba2f-a8568abc5b8b.jpg?v=1716455834&width=533,https://attirstore.com/products/sum24-waffle-knit-revere-polo-shirt-in-crimson
27,Polo Shirt with Revere Collar in Maroon,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/DSC01936_5f8083c7-c842-4d49-9ad2-cbf0170051be.jpg?v=1717579493&width=533,https://attirstore.com/products/sum24-polo-shirt-with-revere-collar-in-maroon
28,Polo Shirt with Revere Collar in Navy,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/DSC01994.jpg?v=1714381314&width=533,https://attirstore.com/products/sum24-polo-shirt-with-revere-collar-in-navy
29,Polo Shirt with Revere Collar in Grey,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/14.jpg?v=1714987681&width=533,https://attirstore.com/products/sum24-polo-shirt-with-revere-collar-in-grey
30,Tank Top in Maroon,"Rs.1,290",https://attirstore.com//attirstore.com/cdn/shop/files/99.jpg?v=1714377377&width=533,https://attirstore.com/products/sum24-tank-top-in-maroon
31,Tank Top in Crimson Red,"Rs.1,290",https://attirstore.com//attirstore.com/cdn/shop/files/kk.jpg?v=1714378907&width=533,https://attirstore.com/products/sum24-tank-top-in-crimson-red
32,Tank Top in Olive,"Rs.1,290",https://attirstore.com//attirstore.com/cdn/shop/files/90.jpg?v=1714378004&width=533,https://attirstore.com/products/sum24-tank-top-in-olive
33,Tank Top in Crow Black,"Rs.1,290",https://attirstore.com//attirstore.com/cdn/shop/files/DSC01524.jpg?v=1714375944&width=533,https://attirstore.com/products/sum24-tank-top-in-crow-black
34,Tank Top in Forest Green,"Rs.1,290",https://attirstore.com//attirstore.com/cdn/shop/files/11_9eb91551-f929-4095-a508-108ca0b505ea.jpg?v=1714377129&width=533,https://attirstore.com/products/sum24-tank-top-in-forest-green
35,Basic T-shirt in Crimson Red,"Rs.1,590",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_8770copy_04ffdbeb-a823-41d8-84ad-8b6832619ea8.jpg?v=1714382763&width=533,https://attirstore.com/products/sum24-basic-t-shirt-in-crimson-red
36,Basic T-shirt in Olive,"Rs.1,590",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_8787-1copy.jpg?v=1714383402&width=533,https://attirstore.com/products/sum24-basic-t-shirt-in-olive
37,Waffle-Knit Revere Polo Shirt in Chocolate Brown,"Rs.2,390",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_7377-1copy.jpg?v=1712317416&width=533,https://attirstore.com/products/waffle-knit-revere-polo-shirt-in-chocolate-brown
38,Waffle-Knit Revere Polo Shirt in Stone,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_7465-1copy.jpg?v=1712317292&width=533,https://attirstore.com/products/waffle-knit-revere-polo-shirt-in-stone
39,Waffle-Knit Revere Polo Shirt in Maroon,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_7399-1111copy.jpg?v=1716453711&width=533,https://attirstore.com/products/waffle-knit-revere-polo-shirt-in-maroon
40,Waffle-Knit Revere Polo Shirt in White,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_7496-1copy.jpg?v=1712317017&width=533,https://attirstore.com/products/waffle-knit-revere-polo-shirt-in-white
41,Oversized T-shirt in Cinnamon Brown,"Rs.1,890",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_7632copy.jpg?v=1709750962&width=533,https://attirstore.com/products/oversized-t-shirt-in-cinnamon-brown
42,Oversized T-shirt in Ink Black,"Rs.1,890",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_9351copy.jpg?v=1709742815&width=533,https://attirstore.com/products/oversized-t-shirt-in-ink-black
43,Basic T-shirt in True Blue,"Rs.1,590",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_8770copy.jpg?v=1709733310&width=533,https://attirstore.com/products/basic-t-shirt-in-true-blue-men
44,Basic T-shirt in Oregano,"Rs.1,590",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_8787copy.jpg?v=1709733034&width=533,https://attirstore.com/products/basic-t-shirt-in-oregano-men
45,Basic T-shirt in Graphite,"Rs.1,590",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_8948.jpg?v=1713885978&width=533,https://attirstore.com/products/basic-t-shirt-in-graphite-men
46,Basic T-shirt in Sky Blue,"Rs.1,590",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_8926.jpg?v=1709731935&width=533,https://attirstore.com/products/basic-t-shirt-in-sky-blue-men
47,Basic T-shirt in White,"Rs.1,590",https://attirstore.com//attirstore.com/cdn/shop/files/DSC01099_78e74cca-32c6-44c6-9c2f-1451fc4dc260.jpg?v=1709722273&width=533,https://attirstore.com/products/basic-t-shirt-in-white-men
48,Basic T-shirt in Black,"Rs.1,590",https://attirstore.com//attirstore.com/cdn/shop/files/DSC01411_cb594255-3cb3-4a84-9f82-85f9153862f0.jpg?v=1709722178&width=533,https://attirstore.com/products/basic-t-shirt-in-black-men
